job_id,tag,matrix,perm,perm_type,algo,block_size,n_cols,time_loading_ms,time_write_ms,time_operation_ms,time_transfer_ms
196858,SMAT_SPMM_ROW,route.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,34.687989,86.160179,1.388,
196972,SMAT_SPMM_ROW,deter1.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,17.723549,17.789519,0.274,
196910,SMAT_SPMM_ROW,ulevimin.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,32.306743,42.729367,1.78,
196928,SMAT_SPMM_ROW,gen1.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,25.222449,30.207895,0.167,
196833,SMAT_SPMM_ROW,rosen1.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,22.504004,10.44714,0.08,
196984,SMAT_SPMM_ROW,deter3.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,18.515642,24.093863,0.328,
197036,SMAT_SPMM_ROW,fxm3_16.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,60.682897,91.1599,0.141,
196982,SMAT_SPMM_ROW,deter3.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,16.728682,15.497269,0.206,
197000,SMAT_SPMM_ROW,deter6.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,15.41829,14.959194,0.202,
196995,SMAT_SPMM_ROW,deter5.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,23.49919,12.067593,0.173,
197014,SMAT_SPMM_ROW,deter8.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,19.267821,13.659528,0.252,
197009,SMAT_SPMM_ROW,deter7.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,20.506641,12.100927,0.264,
196882,SMAT_SPMM_ROW,stat96v1.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,72.429052,135.523956,0.156,
196926,SMAT_SPMM_ROW,world.mtx,SB_gray,ROW,SMAT_SPMM_ROW,32.0,32,49.242656,49.057267,0.334,
197013,SMAT_SPMM_ROW,deter8.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,16.857347,14.2426,0.182,
196988,SMAT_SPMM_ROW,deter4.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,11.173655,12.404195,0.179,
197007,SMAT_SPMM_ROW,deter7.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,20.208077,13.728628,0.181,
196798,SMAT_SPMM_ROW,pf2177.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,16.795689,12.74128,0.059,
197033,SMAT_SPMM_ROW,fxm3_6.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,19.527835,27.711434,0.15,
197030,SMAT_SPMM_ROW,fxm3_6.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,18.550306,17.411906,0.08,
197025,SMAT_SPMM_ROW,fxm2-16.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,17.835783,19.724869,0.075,
197015,SMAT_SPMM_ROW,deter8.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,19.764272,13.531248,0.252,
196973,SMAT_SPMM_ROW,deter1.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,17.70448,18.320953,0.274,
196778,SMAT_SPMM_ROW,p6000.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,23.171637,16.50804,0.391,
